id,old_id,duration,point_num,vel_change_mean,angle_change_mean,logcr_change_mean,max_ditance_x,max_ditance_y,endpts_num,vel_change_mean_x,vel_change_mean_y,intersection_num,vel_change_num,total_num_crossx,total_num_crossy,total_num_cross_ax,total_num_cross_ay,x_axis_intersections,y_axis_intersections,FRR,FAR,accuracy,FAR_class
1,1,1728,158,6.594107215036896,0.02352442446617156,0.039232208493964145,13107,9155,0,5.522196502057612,7.745713091563788,8,27,9,12,15,14,2,6,0.0,0.0,100.0,0
2,2,1913,173,8.399861450228984,0.025575122523629198,0.04139830623925482,15738,11806,1,6.634922460358949,12.9332752512052,5,32,16,14,21,17,4,6,0.0,50.0,81.48148148148148,1
3,3,1322,120,8.4084013716415,0.016693887267963156,0.04182684862602441,19164,5783,1,12.149466296856614,3.522255000840478,5,22,9,5,9,13,6,2,0.0,0.0,100.0,0
4,4,1812,104,7.818725404072524,0.010304209644908384,0.029854489830452777,20256,11686,1,7.474540103016926,7.504020726024039,1,19,8,7,13,10,4,41,0.0,10.0,96.29629629629629,0
5,8,4047,253,10.77461914269188,0.011562518359959103,0.03082189400823867,20207,18432,3,8.192436647173489,11.485339208741731,7,46,25,18,30,26,8,69,52.94117647058824,0.0,66.66666666666666,0
6,9,2375,175,6.036438456477958,0.016719694297226105,0.031857426476651046,16234,14456,2,4.324185730994151,7.447439999999999,4,28,7,9,20,16,4,3,17.647058823529413,0.0,88.88888888888889,0
7,10,4890,329,6.7987786124877045,0.013480471494594483,0.03491978585363785,15093,11806,5,5.888626221313338,6.2464092251760945,18,55,23,25,32,36,10,148,0.0,0.0,100.0,0
8,11,3557,302,4.979991837180681,0.012374420244895549,0.04038335593490281,15589,10963,1,4.179867866179363,5.311282603942149,7,47,24,16,31,30,14,5,0.0,50.0,81.48148148148148,1
9,13,6916,483,2.849081681324204,0.010219621409247202,0.026456533234099983,16433,14215,4,2.210211104684789,3.0844134374397534,17,30,28,19,53,59,4,4,0.0,40.0,85.18518518518519,1
10,14,2797,240,3.286604190548454,0.021663411230273488,0.03477706451830802,22937,9397,2,2.6838434036467635,4.623454494895324,3,32,7,18,34,27,0,2,0.0,40.0,85.18518518518519,1
11,15,2354,182,5.692731771683153,0.01730424364267595,0.0341541691865864,8440,7710,4,5.251528367790052,6.59536911167752,8,30,16,14,24,26,8,3,0.0,0.0,100.0,0
12,16,1235,113,7.265032602220388,0.025179907822206072,0.04348159586245157,11816,15661,0,2.974541610436346,9.386480431848852,0,16,8,6,18,13,2,2,0.0,0.0,100.0,0
13,18,4265,267,2.4731813931748556,0.011508242534289646,0.024557656176618002,7993,6023,4,3.1120896183405,2.514038817246321,13,36,27,18,32,31,22,21,35.294117647058826,40.0,62.96296296296296,1
14,19,5604,435,4.333259764030507,0.01568933047770303,0.03309968802646037,19908,17468,2,3.54445614243794,4.199072091363309,17,47,15,18,45,33,10,23,17.647058823529413,0.0,88.88888888888889,0
15,20,4510,319,5.79057803940542,0.01807159330588526,0.03186712138891762,29838,10721,7,6.507254988913527,5.543728504557774,6,53,25,23,48,38,8,61,5.88235294117647,0.0,96.29629629629629,0
16,21,2869,270,4.943951659680577,0.01898133436975278,0.041053792564025804,14298,14697,3,5.819248286278612,5.120190155299951,9,45,13,19,29,29,6,54,0.0,20.0,92.5925925925926,1
17,22,4432,386,7.104562968330429,0.017902839509385263,0.03793414030851541,22986,13371,2,6.278829723225033,7.446594213798639,14,68,29,26,42,40,18,3,0.0,0.0,100.0,0
18,23,2688,217,8.446576824317797,0.021544041739611313,0.04220716058992905,18468,11324,2,5.57495453042328,10.87493634259259,4,39,16,22,24,27,6,4,0.0,0.0,100.0,0
19,24,1104,110,10.600783554700623,0.016333577664821353,0.051005936006374916,25916,10119,0,11.943411835748792,9.674159621578099,0,17,7,9,12,12,2,2,0.0,0.0,100.0,0
20,25,1921,174,10.976683157167292,0.02691034975630814,0.04683810782701607,11369,9758,2,4.7844855110185645,14.179768060616567,8,33,10,17,23,19,0,4,0.0,0.0,100.0,0
21,26,2619,235,4.418564320063699,0.013697594617574518,0.034917001597951844,24376,9999,0,4.731492511985068,3.0007988630096305,11,35,14,9,18,25,10,4,0.0,0.0,100.0,0
22,28,2432,210,7.680110074501786,0.01617727644940498,0.03651225794077559,15688,6987,2,8.218361202485383,6.148150584795321,13,39,15,14,21,22,6,14,11.76470588235294,0.0,92.5925925925926,0
23,29,1344,120,10.3032097839248,0.016429366568534363,0.04016673385690467,26065,10239,1,9.31562169312169,9.628796296296297,4,22,6,6,15,11,2,3,5.88235294117647,20.0,88.88888888888889,1
24,32,4172,274,8.306454531554557,0.015563679940187675,0.03004133128081604,20951,17950,6,6.271435762224352,10.997242729306494,12,49,22,28,35,33,6,8,0.0,10.0,96.29629629629629,0
25,34,8182,648,7.613405289675904,0.015196134607832137,0.031022127825327293,26214,14335,6,7.474366359759903,7.40401762676879,25,113,57,46,73,74,24,15,11.76470588235294,0.0,92.5925925925926,0
26,36,2953,253,4.942180290994299,0.025012207219560906,0.0412302451385385,13355,9155,1,3.9962599239944314,4.989981186740417,12,41,11,13,25,18,8,8,0.0,0.0,100.0,0
27,37,4275,277,2.583025058723068,0.01002371103475231,0.02579774366762919,28001,8914,1,3.2767846653671193,1.5519638726445755,7,33,16,12,35,46,2,2,58.82352941176471,0.0,62.96296296296296,0
28,38,2453,230,9.297997860047484,0.020481991171500118,0.046820389383316764,15738,14577,0,5.697938125651129,11.971823617339313,3,43,19,18,26,24,20,10,11.76470588235294,0.0,92.5925925925926,0
29,39,1938,174,7.274928316834512,0.02639504888064922,0.03658566507160844,15987,9396,1,6.200580782020408,7.142230822153427,6,30,12,15,21,20,10,4,5.88235294117647,0.0,96.29629629629629,0
30,40,2260,176,10.012412784554277,0.01349325805602865,0.04513390061094739,14398,11926,2,6.79540560471977,10.954869223205499,3,32,13,16,18,18,4,3,0.0,0.0,100.0,0
31,42,3125,229,3.581133779966066,0.015609028761915392,0.024154463314266458,20902,5059,2,4.533868799999999,2.9553905777777767,6,23,18,13,30,30,6,8,0.0,0.0,100.0,0
32,44,1266,118,6.598589823364165,0.027389537875282935,0.0493566351314892,13653,8192,0,3.6801053185887316,8.773749341758823,2,21,10,9,14,12,4,1,5.88235294117647,0.0,96.29629629629629,0
33,46,1354,123,9.367468475111998,0.028632571446733052,0.04585260295415401,15738,13131,1,5.491604300016411,11.540148531101263,3,23,7,10,12,13,8,5,0.0,0.0,100.0,0
34,53,1438,128,6.772048021855134,0.027239333030704402,0.036346349484378676,12263,6506,1,4.28026580126719,9.866727708236748,4,23,11,12,14,13,6,33,17.647058823529413,0.0,88.88888888888889,0
35,54,2062,185,7.176029518305096,0.02028649377217119,0.03615266068583023,19809,11445,2,5.840457484642744,8.214671839637889,5,33,13,14,17,17,2,131,0.0,10.0,96.29629629629629,0
36,55,2385,183,9.55035290221495,0.014087020715466102,0.03318850396340259,27305,12770,2,12.493367808059633,7.512292569298857,4,33,18,13,19,19,12,6,23.52941176470588,0.0,85.18518518518519,0
37,56,2635,123,5.939159189122056,0.010903108806384584,0.021558944076510333,16235,10481,2,7.612607210626189,4.383381825848619,5,22,11,8,14,14,2,27,29.411764705882355,0.0,81.48148148148148,0
38,57,1390,121,21.52589861795297,0.016634329963379612,0.04647361436898906,28398,16504,2,22.789812150279783,26.60879216626699,3,23,12,16,14,16,10,6,0.0,0.0,100.0,0
39,58,2578,229,18.2625493178181,0.0136345862677004,0.04072483346010229,23632,14576,3,19.501095164209993,18.468137660546507,11,44,24,25,25,27,6,83,0.0,0.0,100.0,0
40,59,1464,115,9.56903811425273,0.01421372549821809,0.04115107803940585,7497,16744,0,5.0932862780813615,10.274573466909535,5,18,6,7,11,12,4,101,47.05882352941176,0.0,70.37037037037037,0
